timestamp,value,computer
2020-06-01 00:00:00,6239,0
2020-06-01 01:00:00,4402,0
2020-06-01 02:00:00,3316,0
2020-06-01 03:00:00,2647,0
2020-06-01 04:00:00,2450,0
2020-06-01 05:00:00,2532,0
2020-06-01 06:00:00,2821,0
2020-06-01 07:00:00,3680,0
2020-06-01 08:00:00,4878,0
2020-06-01 09:00:00,5472,0
2020-06-01 10:00:00,5386,0
2020-06-01 11:00:00,6196,0
2020-06-01 12:00:00,6150,0
2020-06-01 13:00:00,6724,0
2020-06-01 14:00:00,5969,0
2020-06-01 15:00:00,5483,0
2020-06-01 16:00:00,5560,0
2020-06-01 17:00:00,5718,0
2020-06-01 18:00:00,6546,0
2020-06-01 19:00:00,6827,0
2020-06-01 20:00:00,7590,0
2020-06-01 21:00:00,8597,0
2020-06-01 22:00:00,7536,0
2020-06-01 23:00:00,6205,0
2020-06-02 00:00:00,4867,0
2020-06-02 01:00:00,3784,0
2020-06-02 02:00:00,2691,0
2020-06-02 03:00:00,2261,0
2020-06-02 04:00:00,1910,0
2020-06-02 05:00:00,1963,0
2020-06-02 06:00:00,2533,0
2020-06-02 07:00:00,3005,0
2020-06-02 08:00:00,4472,0
2020-06-02 09:00:00,4744,0
2020-06-02 10:00:00,4953,0
2020-06-02 11:00:00,5876,0
2020-06-02 12:00:00,6024,0
2020-06-02 13:00:00,6256,0
2020-06-02 14:00:00,5688,0
2020-06-02 15:00:00,5692,0
2020-06-02 16:00:00,6062,0
2020-06-02 17:00:00,6138,0
2020-06-02 18:00:00,5924,0
2020-06-02 19:00:00,6884,0
2020-06-02 20:00:00,7743,0
2020-06-02 21:00:00,8585,0
2020-06-02 22:00:00,8410,0
2020-06-02 23:00:00,6768,0
2020-06-03 00:00:00,4991,0
2020-06-03 01:00:00,3839,0
2020-06-03 02:00:00,3136,0
2020-06-03 03:00:00,2494,0
2020-06-03 04:00:00,2289,0
2020-06-03 05:00:00,2560,0
2020-06-03 06:00:00,2508,0
2020-06-03 07:00:00,3316,0
2020-06-03 08:00:00,4445,0
2020-06-03 09:00:00,4834,0
2020-06-03 10:00:00,5451,0
2020-06-03 11:00:00,5695,0
2020-06-03 12:00:00,6752,0
2020-06-03 13:00:00,7125,0
2020-06-03 14:00:00,6743,0
2020-06-03 15:00:00,5936,0
2020-06-03 16:00:00,6082,0
2020-06-03 17:00:00,6171,0
2020-06-03 18:00:00,6537,0
2020-06-03 19:00:00,6973,0
2020-06-03 20:00:00,8912,0
2020-06-03 21:00:00,9479,0
2020-06-03 22:00:00,9163,0
2020-06-03 23:00:00,6787,0
2020-06-04 00:00:00,5181,0
2020-06-04 01:00:00,3812,0
2020-06-04 02:00:00,2989,0
2020-06-04 03:00:00,2483,0
2020-06-04 04:00:00,1999,0
2020-06-04 05:00:00,2169,0
2020-06-04 06:00:00,2646,0
2020-06-04 07:00:00,3327,0
2020-06-04 08:00:00,4590,0
2020-06-04 09:00:00,6643,0
2020-06-04 10:00:00,5245,0
2020-06-04 11:00:00,6353,0
2020-06-04 12:00:00,6561,0
2020-06-04 13:00:00,6323,0
2020-06-04 14:00:00,5825,0
2020-06-04 15:00:00,5588,0
2020-06-04 16:00:00,5379,0
2020-06-04 17:00:00,5772,0
2020-06-04 18:00:00,6363,0
2020-06-04 19:00:00,6615,0
2020-06-04 20:00:00,7874,0
2020-06-04 21:00:00,8626,0
2020-06-04 22:00:00,8189,0
2020-06-04 23:00:00,6210,0
2020-06-05 00:00:00,4716,0
2020-06-05 01:00:00,3899,0
2020-06-05 02:00:00,2852,0
2020-06-05 03:00:00,2418,0
2020-06-05 04:00:00,2044,0
2020-06-05 05:00:00,2323,0
2020-06-05 06:00:00,2688,0
2020-06-05 07:00:00,3209,0
2020-06-05 08:00:00,4842,0
2020-06-05 09:00:00,4715,0
2020-06-05 10:00:00,4945,0
2020-06-05 11:00:00,5988,0
2020-06-05 12:00:00,6536,0
2020-06-05 13:00:00,6600,0
2020-06-05 14:00:00,6474,0
2020-06-05 15:00:00,6321,0
2020-06-05 16:00:00,5980,0
2020-06-05 17:00:00,5889,0
2020-06-05 18:00:00,5942,0
2020-06-05 19:00:00,6288,0
2020-06-05 20:00:00,7484,0
2020-06-05 21:00:00,7911,0
2020-06-05 22:00:00,8044,0
2020-06-05 23:00:00,6667,0
2020-06-06 00:00:00,4893,0
2020-06-06 01:00:00,3809,0
2020-06-06 02:00:00,2685,0
2020-06-06 03:00:00,2536,0
2020-06-06 04:00:00,2216,0
2020-06-06 05:00:00,2255,0
2020-06-06 06:00:00,2773,0
2020-06-06 07:00:00,3546,0
2020-06-06 08:00:00,4464,0
2020-06-06 09:00:00,5202,0
2020-06-06 10:00:00,5775,0
2020-06-06 11:00:00,5894,0
2020-06-06 12:00:00,6321,0
2020-06-06 13:00:00,6666,0
2020-06-06 14:00:00,5753,0
2020-06-06 15:00:00,5782,0
2020-06-06 16:00:00,6211,0
2020-06-06 17:00:00,5832,0
2020-06-06 18:00:00,5967,0
2020-06-06 19:00:00,6398,0
2020-06-06 20:00:00,7330,0
2020-06-06 21:00:00,7784,0
2020-06-06 22:00:00,7633,0
2020-06-06 23:00:00,6295,0
2020-06-07 00:00:00,4685,0
2020-06-07 01:00:00,3809,0
2020-06-07 02:00:00,2874,0
2020-06-07 03:00:00,2516,0
2020-06-07 04:00:00,2251,0
2020-06-07 05:00:00,2088,0
2020-06-07 06:00:00,2637,0
2020-06-07 07:00:00,3662,0
2020-06-07 08:00:00,4762,0
2020-06-07 09:00:00,5777,0
2020-06-07 10:00:00,6258,0
2020-06-07 11:00:00,6964,0
2020-06-07 12:00:00,7519,0
2020-06-07 13:00:00,7330,0
2020-06-07 14:00:00,6967,0
2020-06-07 15:00:00,6329,0
2020-06-07 16:00:00,6181,0
2020-06-07 17:00:00,6304,0
2020-06-07 18:00:00,6593,0
2020-06-07 19:00:00,7076,0
2020-06-07 20:00:00,7353,0
2020-06-07 21:00:00,7946,0
2020-06-07 22:00:00,7387,0
2020-06-07 23:00:00,6780,0
2020-06-08 00:00:00,6802,0
2020-06-08 01:00:00,3399,0
2020-06-08 02:00:00,2973,0
2020-06-08 03:00:00,2428,0
2020-06-08 04:00:00,2139,0
2020-06-08 05:00:00,1983,0
2020-06-08 06:00:00,2437,0
2020-06-08 07:00:00,3309,0
2020-06-08 08:00:00,4348,0
2020-06-08 09:00:00,4758,0
2020-06-08 10:00:00,5243,0
2020-06-08 11:00:00,5864,0
2020-06-08 12:00:00,5787,0
2020-06-08 13:00:00,6187,0
2020-06-08 14:00:00,5293,0
2020-06-08 15:00:00,5823,0
2020-06-08 16:00:00,6338,0
2020-06-08 17:00:00,5805,0
2020-06-08 18:00:00,6020,0
2020-06-08 19:00:00,6899,0
2020-06-08 20:00:00,7073,0
2020-06-08 21:00:00,7943,0
2020-06-08 22:00:00,7500,0
2020-06-08 23:00:00,5513,0
2020-06-09 00:00:00,4651,0
2020-06-09 01:00:00,3507,0
2020-06-09 02:00:00,2740,0
2020-06-09 03:00:00,27681,0
2020-06-09 04:00:00,2267,0
2020-06-09 05:00:00,2219,0
2020-06-09 06:00:00,2501,0
2020-06-09 07:00:00,3348,0
2020-06-09 08:00:00,4612,0
2020-06-09 09:00:00,4576,0
2020-06-09 10:00:00,4872,0
2020-06-09 11:00:00,5466,0
2020-06-09 12:00:00,6035,0
2020-06-09 13:00:00,5689,0
2020-06-09 14:00:00,5254,0
2020-06-09 15:00:00,5508,0
2020-06-09 16:00:00,5692,0
2020-06-09 17:00:00,5893,0
2020-06-09 18:00:00,5751,0
2020-06-09 19:00:00,6405,0
2020-06-09 20:00:00,6867,0
2020-06-09 21:00:00,7971,0
2020-06-09 22:00:00,7099,0
2020-06-09 23:00:00,5459,0
2020-06-10 00:00:00,4414,0
2020-06-10 01:00:00,3396,0
2020-06-10 02:00:00,2476,0
2020-06-10 03:00:00,2310,0
2020-06-10 04:00:00,2106,0
2020-06-10 05:00:00,2080,0
2020-06-10 06:00:00,2428,0
2020-06-10 07:00:00,3566,0
2020-06-10 08:00:00,4659,0
2020-06-10 09:00:00,4944,0
2020-06-10 10:00:00,5334,0
2020-06-10 11:00:00,5680,0
2020-06-10 12:00:00,6086,0
2020-06-10 13:00:00,6565,0
2020-06-10 14:00:00,5790,0
2020-06-10 15:00:00,5517,0
2020-06-10 16:00:00,5814,0
2020-06-10 17:00:00,5675,0
2020-06-10 18:00:00,6226,0
2020-06-10 19:00:00,6475,0
2020-06-10 20:00:00,6902,0
2020-06-10 21:00:00,7718,0
2020-06-10 22:00:00,7226,0
2020-06-10 23:00:00,5591,0
2020-06-11 00:00:00,4408,0
2020-06-11 01:00:00,3253,0
2020-06-11 02:00:00,2635,0
2020-06-11 03:00:00,2284,0
2020-06-11 04:00:00,2207,0
2020-06-11 05:00:00,2377,0
2020-06-11 06:00:00,2463,0
2020-06-11 07:00:00,3334,0
2020-06-11 08:00:00,4531,0
2020-06-11 09:00:00,4654,0
2020-06-11 10:00:00,5125,0
2020-06-11 11:00:00,5647,0
2020-06-11 12:00:00,6277,0
2020-06-11 13:00:00,5879,0
2020-06-11 14:00:00,5501,0
2020-06-11 15:00:00,5258,0
2020-06-11 16:00:00,5637,0
2020-06-11 17:00:00,5657,0
2020-06-11 18:00:00,6373,0
2020-06-11 19:00:00,6667,0
2020-06-11 20:00:00,9067,0
2020-06-11 21:00:00,11761,0
2020-06-11 22:00:00,11002,0
2020-06-11 23:00:00,9111,0
2020-06-12 00:00:00,7208,0
2020-06-12 01:00:00,4992,0
2020-06-12 02:00:00,4109,0
2020-06-12 03:00:00,3241,0
2020-06-12 04:00:00,3028,0
2020-06-12 05:00:00,3234,0
2020-06-12 06:00:00,4244,0
2020-06-12 07:00:00,5190,0
2020-06-12 08:00:00,7062,0
2020-06-12 09:00:00,7207,0
2020-06-12 10:00:00,7487,0
2020-06-12 11:00:00,8745,0
2020-06-12 12:00:00,9171,0
2020-06-12 13:00:00,9052,0
2020-06-12 14:00:00,8203,0
2020-06-12 15:00:00,7805,0
2020-06-12 16:00:00,7802,0
2020-06-12 17:00:00,8025,0
2020-06-12 18:00:00,8854,0
2020-06-12 19:00:00,9841,0
2020-06-12 20:00:00,10751,0
2020-06-12 21:00:00,10533,0
2020-06-12 22:00:00,9856,0
2020-06-12 23:00:00,8266,0
2020-06-13 00:00:00,6201,0
2020-06-13 01:00:00,4528,0
2020-06-13 02:00:00,3485,0
2020-06-13 03:00:00,2914,0
2020-06-13 04:00:00,2520,0
2020-06-13 05:00:00,2714,0
2020-06-13 06:00:00,3329,0
2020-06-13 07:00:00,3963,0
2020-06-13 08:00:00,5496,0
2020-06-13 09:00:00,6217,0
2020-06-13 10:00:00,6683,0
2020-06-13 11:00:00,6981,0
2020-06-13 12:00:00,7344,0
2020-06-13 13:00:00,7482,0
2020-06-13 14:00:00,7046,0
2020-06-13 15:00:00,6564,0
2020-06-13 16:00:00,6878,0
2020-06-13 17:00:00,6976,0
2020-06-13 18:00:00,7039,0
2020-06-13 19:00:00,7334,0
2020-06-13 20:00:00,8105,0
2020-06-13 21:00:00,8283,0
2020-06-13 22:00:00,8078,0
2020-06-13 23:00:00,6751,0
2020-06-14 00:00:00,5628,0
2020-06-14 01:00:00,4534,0
2020-06-14 02:00:00,3336,0
2020-06-14 03:00:00,2713,0
2020-06-14 04:00:00,2471,0
2020-06-14 05:00:00,2350,0
2020-06-14 06:00:00,2855,0
2020-06-14 07:00:00,3500,0
2020-06-14 08:00:00,4795,0
2020-06-14 09:00:00,5590,0
2020-06-14 10:00:00,6256,0
2020-06-14 11:00:00,7680,0
2020-06-14 12:00:00,7661,0
2020-06-14 13:00:00,7455,0
2020-06-14 14:00:00,6797,0
2020-06-14 15:00:00,6900,0
2020-06-14 16:00:00,6864,0
2020-06-14 17:00:00,6241,0
2020-06-14 18:00:00,6732,0
2020-06-14 19:00:00,7592,0
2020-06-14 20:00:00,8097,0
2020-06-14 21:00:00,8272,0
2020-06-14 22:00:00,7900,0
2020-06-14 23:00:00,6497,0
2020-06-15 00:00:00,5090,0
2020-06-15 01:00:00,3652,0
2020-06-15 02:00:00,2959,0
2020-06-15 03:00:00,2510,0
2020-06-15 04:00:00,2408,0
2020-06-15 05:00:00,2178,0
2020-06-15 06:00:00,2662,0
2020-06-15 07:00:00,3778,0
2020-06-15 08:00:00,4203,0
2020-06-15 09:00:00,4631,0
2020-06-15 10:00:00,5430,0
2020-06-15 11:00:00,5970,0
2020-06-15 12:00:00,6120,0
2020-06-15 13:00:00,6193,0
2020-06-15 14:00:00,6175,0
2020-06-15 15:00:00,5781,0
2020-06-15 16:00:00,6203,0
2020-06-15 17:00:00,6132,0
2020-06-15 18:00:00,6323,0
2020-06-15 19:00:00,6546,0
2020-06-15 20:00:00,7365,0
2020-06-15 21:00:00,7742,0
2020-06-15 22:00:00,7046,0
2020-06-15 23:00:00,5821,0
